{'k': 10, 'reg_penalty': 10}
Step  2600 , error  71910.4688605 , delta error  140.799991086 , grad norm  374.951783041
Step  2700 , error  59162.3346707 , delta error  115.269527375 , grad norm  339.259043511
Step  2800 , error  48725.5277067 , delta error  94.3725040031 , grad norm  306.970747595
Step  2900 , error  40180.5920952 , delta error  77.2676392579 , grad norm  277.762209331
Step  3000 , error  33184.2319393 , delta error  63.2663957623 , grad norm  251.339631646
Step  3100 , error  27455.4825948 , delta error  51.8052658773 , grad norm  227.437189449
Step  3200 , error  22764.391474 , delta error  42.4230787755 , grad norm  205.814384781
Step  3300 , error  18922.7535686 , delta error  34.7424211582 , grad norm  186.2536486
Step  3400 , error  15776.5291422 , delta error  28.454427454 , grad norm  168.558166438
Step  3500 , error  13199.6384523 , delta error  23.3063296441 , grad norm  152.549907399
Step  3600 , error  11088.8836059 , delta error  19.0912669242 , grad norm  138.067837933
Step  3700 , error  9359.79292791 , delta error  15.6399456765 , grad norm  124.966303491
Step  3800 , error  7943.22030985 , delta error  12.8138142312 , grad norm  113.113562716
Step  3900 , error  6782.56239776 , delta error  10.4994775818 , grad norm  102.390460147
Step  4000 , error  5831.48136415 , delta error  8.60412696826 , grad norm  92.6892246591
Step  4100 , error  5052.04139191 , delta error  7.05180002259 , grad norm  83.9123819716
Step  4200 , error  4413.18368545 , delta error  5.78032058702 , grad norm  75.9717706082
Step  4300 , error  3889.47848474 , delta error  4.73879469497 , grad norm  68.7876516083
Step  4400 , error  3460.10373984 , delta error  3.88556162663 , grad norm  62.2879031775
Step  4500 , error  3108.0092542 , delta error  3.18651731437 , grad norm  56.407292256
Step  4600 , error  2819.23259299 , delta error  2.61374240591 , grad norm  51.0868157173
Step  4700 , error  2582.33918071 , delta error  2.14437959761 , grad norm  46.2731045797
Step  4800 , error  2387.96402489 , delta error  1.75971492129 , grad norm  41.9178852301
Step  4900 , error  2228.43660517 , delta error  1.44442590806 , grad norm  37.9774922171
Step  5000 , error  2097.47382233 , delta error  1.18596629612 , grad norm  34.4124276838
Step  5001 , error  2097.47382233 , delta error  1.18596629612 , grad norm  34.4124276838
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 59.18%
[0.00041528239202657808, 0.00053699712643678161, 0.00053462603878116346, 0.00073805540063208777]
Result:  result(mean_score=0.00055624023946915279, std_dev=0.00011593461374294723, parameters={'k': 150, 'reg_penalty': 10})
{'k': 150, 'reg_penalty': 20}
Step  100 , error  10480776.6185 , delta error  21080.5172898 , grad norm  4587.70393706
Step  200 , error  8577502.53962 , delta error  17187.2949346 , grad norm  4142.63228852
Step  300 , error  7021752.91684 , delta error  14065.0356888 , grad norm  3747.52298671
Step  400 , error  5748359.63141 , delta error  11513.5864899 , grad norm  3390.62181889
Step  500 , error  4705936.25011 , delta error  9425.3845528 , grad norm  3067.77569843
Step  600 , error  3852571.76167 , delta error  7715.97129717 , grad norm  2775.67982418
Step  700 , error  3153975.57403 , delta error  6316.58191835 , grad norm  2511.3956121
Step  800 , error  2582079.17994 , delta error  5170.97923822 , grad norm  2272.27273647
Step  900 , error  2113905.01212 , delta error  4233.13623297 , grad norm  2055.91511019
Step  1000 , error  1730642.58885 , delta error  3465.37577812 , grad norm  1860.15536126
Step  1100 , error  1416892.65148 , delta error  2836.85428341 , grad norm  1683.03272162
Step  1200 , error  1160048.49947 , delta error  2322.32176639 , grad norm  1522.77324246
Step  1300 , error  949789.562969 , delta error  1901.1071847 , grad norm  1377.77194876
Step  1400 , error  777666.83439 , delta error  1556.28792275 , grad norm  1246.57670761
Step  1500 , error  636763.490269 , delta error  1274.00996488 , grad norm  1127.87363767
Step  1600 , error  521417.061754 , delta error  1042.93140241 , grad norm  1020.47391207
Step  1700 , error  426991.987948 , delta error  853.766893737 , grad norm  923.301823757
Step  1800 , error  349693.412449 , delta error  698.91475819 , grad norm  835.383994547
Step  1900 , error  286414.742017 , delta error  572.151707589 , grad norm  755.839619861
Step  2000 , error  234612.84395 , delta error  468.382940416 , grad norm  683.871650457
Step  2100 , error  192205.870036 , delta error  383.437551763 , grad norm  618.758821024
Step  2200 , error  157489.604478 , delta error  313.901036413 , grad norm  559.848443527
Step  2300 , error  129068.977513 , delta error  256.978155879 , grad norm  506.549890757
Step  2400 , error  105801.995646 , delta error  210.38066244 , grad norm  458.328702639
Step  2500 , error  86753.8379036 , delta error  172.235373225 , grad norm  414.70125445
Step  2600 , error  71159.2755402 , delta error  141.008905608 , grad norm  375.229932218
Step  2700 , error  58391.9065812 , delta error  115.446054422 , grad norm  339.518766123
Step  2800 , error  47938.9699675 , delta error  94.5193391987 , grad norm  307.209477742
Step  2900 , error  39380.7278699 , delta error  77.3876975909 , grad norm  277.977901487
Step  3000 , error  32373.5879933 , delta error  63.3626679265 , grad norm  251.530744558
Step  3100 , error  26636.2877454 , delta error  51.8807039182 , grad norm  227.602653333
Step  3200 , error  21938.5850148 , delta error  42.4805103331 , grad norm  205.953557217
Step  3300 , error  18092.0009336 , delta error  34.7844896259 , grad norm  186.366263838
Step  3400 , error  14942.2423999 , delta error  28.4835543321 , grad norm  168.64428193
Step  3500 , error  12362.9996159 , delta error  23.3246949768 , grad norm  152.609850516
Step  3600 , error  10250.8691584 , delta error  19.1008038008 , grad norm  138.102154999
Step  3700 , error  8521.19834212 , delta error  15.6423451394 , grad norm  124.975712578
Step  3800 , error  7104.68368753 , delta error  12.8105374485 , grad norm  113.098911057
Step  3900 , error  5944.58663553 , delta error  10.4917727016 , grad norm  102.352686574
Step  4000 , error  4994.45448574 , delta error  8.59304861614 , grad norm  92.6293271408
Step  4100 , error  4216.25486424 , delta error  7.03822989766 , grad norm  83.8313901005
Step  4200 , error  3578.84866851 , delta error  5.76498803246 , grad norm  75.8707227017
Step  4300 , error  3056.74005972 , delta error  4.72229646691 , grad norm  68.6675760233
Step  4400 , error  2629.05322298 , delta error  3.8683803606 , grad norm  62.1498033787
Step  4500 , error  2278.69474261 , delta error  3.16903839956 , grad norm  56.252135171
Step  4600 , error  1991.66790974 , delta error  2.59626913421 , grad norm  50.9155229233
Step  4700 , error  1756.51139323 , delta error  2.12714656605 , grad norm  46.0865458973
Step  4800 , error  1563.8397094 , delta error  1.74289974297 , grad norm  41.7168743339
Step  4900 , error  1405.9670211 , delta error  1.42815933542 , grad norm  37.7627839185
Step  5000 , error  1276.59914916 , delta error  1.17034088863 , grad norm  34.1847165818
Step  5001 , error  1276.59914916 , delta error  1.17034088863 , grad norm  34.1847165818
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 59.69%
[0.00012458471760797344]
Step  100 , error  10480711.8151 , delta error  21082.8252126 , grad norm  4587.95014683
Step  200 , error  8577365.89298 , delta error  17187.3159414 , grad norm  4142.63431898
Step  300 , error  7021629.77838 , delta error  14064.824536 , grad norm  3747.49475383
Step  400 , error  5748258.82609 , delta error  11513.3632256 , grad norm  3390.58891215
Step  500 , error  4705856.67625 , delta error  9425.18486817 , grad norm  3067.7431865
Step  600 , error  3852510.75378 , delta error  7715.7992207 , grad norm  2775.64886295
Step  700 , error  3153930.47863 , delta error  6316.43490805 , grad norm  2511.36637799
Step  800 , error  2582047.6737 , delta error  5170.85364523 , grad norm  2272.24513269
Step  900 , error  2113885.12981 , delta error  4233.02863922 , grad norm  2055.88897316
Step  1000 , error  1730632.68117 , delta error  3465.28329239 , grad norm  1860.13052931
Step  1100 , error  1416891.33089 , delta error  2836.77454804 , grad norm  1683.00905957
Step  1200 , error  1160054.59019 , delta error  2322.25288494 , grad norm  1522.75064989
Step  1300 , error  949802.059234 , delta error  1901.04763474 , grad norm  1377.75036123
Step  1400 , error  777684.867296 , delta error  1556.2364744 , grad norm  1246.55609434
Step  1500 , error  636786.302106 , delta error  1273.96561131 , grad norm  1127.85399712
Step  1600 , error  521443.986651 , delta error  1042.89330372 , grad norm  1020.45526633
Step  1700 , error  427022.437473 , delta error  853.734333524 , grad norm  923.284212267
Step  1800 , error  349726.864978 , delta error  698.887111252 , grad norm  835.367467693
Step  1900 , error  286450.734843 , delta error  572.128417008 , grad norm  755.824232927
Step  2000 , error  234650.967283 , delta error  468.363502147 , grad norm  683.857458196
Step  2100 , error  192245.762253 , delta error  383.421504874 , grad norm  618.745873116
Step  2200 , error  157530.948125 , delta error  313.887957356 , grad norm  559.836781044
Step  2300 , error  129111.495742 , delta error  256.967655411 , grad norm  506.53954368
Step  2400 , error  105845.448867 , delta error  210.372384116 , grad norm  458.319688363
Step  2500 , error  86798.0205506 , delta error  172.228992643 , grad norm  414.693577172
Step  2600 , error  71204.0128904 , delta error  141.00412986 , grad norm  375.223583072
Step  2700 , error  58437.0516395 , delta error  115.442621426 , grad norm  339.513723891
Step  2800 , error  47984.4004306 , delta error  94.5170167147 , grad norm  307.205709998
Step  2900 , error  39426.343206 , delta error  77.3862818833 , grad norm  277.975366009
Step  3000 , error  32419.3066747 , delta error  63.3619820858 , grad norm  251.529390902
Step  3100 , error  26682.0446616 , delta error  51.8805959096 , grad norm  227.602424447
Step  3200 , error  21984.3290923 , delta error  42.4808508592 , grad norm  205.954391033
Step  3300 , error  18137.6929746 , delta error  34.7851698909 , grad norm  186.368094766
Step  3400 , error  14987.8531459 , delta error  28.4844837896 , grad norm  168.647042234
Step  3500 , error  12408.5080345 , delta error  23.3257991291 , grad norm  152.613471529
Step  3600 , error  10296.2609456 , delta error  19.1020221026 , grad norm  138.106568186
Step  3700 , error  8566.46462681 , delta error  15.6436290438 , grad norm  124.980850431
Step  3800 , error  7149.81992357 , delta error  12.8118486184 , grad norm  113.104707836
Step  3900 , error  5989.59166358 , delta error  10.4930813987 , grad norm  102.359078904
Step  4000 , error  5039.32974709 , delta error  8.59433227079 , grad norm  92.6362544788
Step  4100 , error  4261.00374871 , delta error  7.03947185491 , grad norm  83.838795081
Step  4200 , error  3623.47597923 , delta error  5.76617646529 , grad norm  75.8785513857
Step  4300 , error  3101.25157861 , delta error  4.72342344456 , grad norm  68.675778059
Step  4400 , error  2673.45536216 , delta error  3.86944105754 , grad norm  62.1583320897
Step  4500 , error  2322.99426849 , delta error  3.17003043041 , grad norm  56.2609475855
Step  4600 , error  2035.8717278 , delta error  2.59719199964 , grad norm  50.924579755
Step  4700 , error  1800.62638332 , delta error  2.12800119548 , grad norm  46.0958114884
Step  4800 , error  1607.87260235 , delta error  1.74368812056 , grad norm  41.7263165693
Step  4900 , error  1449.92430908 , delta error  1.4288841973 , grad norm  37.7723741184
Step  5000 , error  1320.48702322 , delta error  1.17100548029 , grad norm  34.1944293792
Step  5001 , error  1320.48702322 , delta error  1.17100548029 , grad norm  34.1944293792
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 60.20%
[0.00012458471760797344, 0.00016163793103448278]
Step  100 , error  10480545.7526 , delta error  21084.2777984 , grad norm  4588.10293824
Step  200 , error  8577185.65271 , delta error  17187.0536048 , grad norm  4142.60251571
Step  300 , error  7021478.31181 , delta error  14064.5381584 , grad norm  3747.45657188
Step  400 , error  5748134.30314 , delta error  11513.1120832 , grad norm  3390.55191939
Step  500 , error  4705755.32471 , delta error  9424.97193906 , grad norm  3067.70852713
Step  600 , error  3852428.88468 , delta error  7715.62147022 , grad norm  2775.61688778
Step  700 , error  3153864.79269 , delta error  6316.28791837 , grad norm  2511.3371554
Step  800 , error  2581995.32637 , delta error  5170.732861 , grad norm  2272.21859399
Step  900 , error  2113843.71756 , delta error  4232.92983723 , grad norm  2055.86498051
Step  1000 , error  1730600.19843 , delta error  3465.20274452 , grad norm  1860.10891142
Step  1100 , error  1416866.11835 , delta error  2836.70904979 , grad norm  1682.9896311
Step  1200 , error  1160035.28368 , delta error  2322.199726 , grad norm  1522.73322229
Step  1300 , error  949787.542822 , delta error  1901.00454707 , grad norm  1377.73474884
Step  1400 , error  777674.231923 , delta error  1556.20157453 , grad norm  1246.54211787
Step  1500 , error  636778.810031 , delta error  1273.93734437 , grad norm  1127.84148554
Step  1600 , error  521439.041196 , delta error  1042.87039254 , grad norm  1020.44405793
Step  1700 , error  427019.557569 , delta error  853.715733827 , grad norm  923.274155294
Step  1800 , error  349725.663874 , delta error  698.871973071 , grad norm  835.358420727
Step  1900 , error  286450.902381 , delta error  572.116051739 , grad norm  755.816065165
Step  2000 , error  234652.255216 , delta error  468.35335465 , grad norm  683.850049691
Step  2100 , error  192247.972116 , delta error  383.413129898 , grad norm  618.739114953
Step  2200 , error  157533.921282 , delta error  313.88099967 , grad norm  559.830575449
