{'k': 10, 'reg_penalty': 10}
Step  4500 , error  1595.89609867 , delta error  0.218090486579 , grad norm  14.7570914402
Step  4600 , error  1576.09923258 , delta error  0.1795025241 , grad norm  13.3880891952
Step  4700 , error  1559.80052674 , delta error  0.147829266959 , grad norm  12.1496716867
Step  4800 , error  1546.37349865 , delta error  0.121824777041 , grad norm  11.0294351893
Step  4900 , error  1535.30451561 , delta error  0.100468257882 , grad norm  10.0161577408
Step  5000 , error  1526.17240632 , delta error  0.082923302514 , grad norm  9.09968623892
Step  5001 , error  1526.17240632 , delta error  0.082923302514 , grad norm  9.09968623892
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 2.04%
[0.00074750830564784061, 0.00050960847701149426, 0.00054062788550323184, 0.00075292805354155057]
Result:  result(mean_score=0.00063766818042602935, std_dev=0.00011309929037871041, parameters={'k': 10, 'reg_penalty': 10})
{'k': 10, 'reg_penalty': 20}
Step  100 , error  699933.356809 , delta error  1418.84648114 , grad norm  1190.2115184
Step  200 , error  572001.776009 , delta error  1152.83214873 , grad norm  1072.87401351
Step  300 , error  467842.324443 , delta error  940.099420275 , grad norm  968.849348378
Step  400 , error  382829.346488 , delta error  767.843953438 , grad norm  875.603792338
Step  500 , error  313362.659906 , delta error  627.667186511 , grad norm  791.656620469
Step  600 , error  256563.513208 , delta error  513.323065095 , grad norm  715.92596951
Step  700 , error  210104.521146 , delta error  419.93195421 , grad norm  647.533985645
Step  800 , error  172094.217541 , delta error  343.597821367 , grad norm  585.731475746
Step  900 , error  140991.193429 , delta error  281.176824504 , grad norm  529.862646613
Step  1000 , error  115537.362144 , delta error  230.117884697 , grad norm  479.34573175
Step  1100 , error  94704.9247166 , delta error  188.344413596 , grad norm  433.660786855
Step  1200 , error  77653.7221567 , delta error  154.162908669 , grad norm  392.341106906
Step  1300 , error  63696.7130148 , delta error  126.190684394 , grad norm  354.966674891
Step  1400 , error  52271.9197292 , delta error  103.297984324 , grad norm  321.15886756
Step  1500 , error  42919.5776422 , delta error  84.5612549107 , grad norm  290.576010814
Step  1600 , error  35263.4938936 , delta error  69.2252519554 , grad norm  262.909554217
Step  1700 , error  28995.8256825 , delta error  56.6722194842 , grad norm  237.880724544
Step  1800 , error  23864.6424792 , delta error  46.3967732506 , grad norm  215.237567081
Step  1900 , error  19663.7584074 , delta error  37.9854071055 , grad norm  194.752311292
Step  2000 , error  16224.4177823 , delta error  31.0997569833 , grad norm  176.219014171
Step  2100 , error  13408.4944861 , delta error  25.4629253826 , grad norm  159.451445192
Step  2200 , error  11102.9286161 , delta error  20.8483019682 , grad norm  144.28118389
Step  2300 , error  9215.17472968 , delta error  17.0704219314 , grad norm  130.555905994
Step  2400 , error  7669.4773873 , delta error  13.9774890216 , grad norm  118.137837764
Step  2500 , error  6403.82340278 , delta error  11.4452591171 , grad norm  106.902360897
Step  2600 , error  5367.44769774 , delta error  9.37203615011 , grad norm  96.736752646
Step  2700 , error  4518.79210261 , delta error  7.67457770084 , grad norm  87.5390475722
Step  2800 , error  3823.83477865 , delta error  6.28474464951 , grad norm  79.2170088847
Step  2900 , error  3254.72291895 , delta error  5.14675950727 , grad norm  71.6871986146
Step  3000 , error  2788.65363578 , delta error  4.21496273531 , grad norm  64.8741369924
Step  3100 , error  2406.95795869 , delta error  3.45197652338 , grad norm  58.7095423791
Step  3200 , error  2094.35106092 , delta error  2.82720197863 , grad norm  53.1316439723
Step  3300 , error  1838.3185332 , delta error  2.31558914771 , grad norm  48.0845602742
Step  3400 , error  1628.61400753 , delta error  1.89663031098 , grad norm  43.5177370013
Step  3500 , error  1456.84791918 , delta error  1.55353599792 , grad norm  39.3854387284
Step  3600 , error  1316.15086581 , delta error  1.2725605425 , grad norm  35.6462891149
Step  3700 , error  1200.89802635 , delta error  1.04245002671 , grad norm  32.2628550588
Step  3800 , error  1106.48355985 , delta error  0.85399039284 , grad norm  29.2012705706
Step  3900 , error  1029.13591609 , delta error  0.699637541492 , grad norm  26.4308965689
Step  4000 , error  965.76663572 , delta error  0.573214534106 , grad norm  23.9240131576
Step  4100 , error  913.846564793 , delta error  0.469663721527 , grad norm  21.6555412809
Step  4200 , error  871.304511039 , delta error  0.384843831129 , grad norm  19.6027909466
Step  4300 , error  836.444271672 , delta error  0.315363854663 , grad norm  17.7452334775
Step  4400 , error  807.876700936 , delta error  0.258447059898 , grad norm  16.0642954956
Step  4500 , error  784.464090106 , delta error  0.211819661031 , grad norm  14.5431725619
Step  4600 , error  765.274627447 , delta error  0.173619674727 , grad norm  13.1666605951
Step  4700 , error  749.545110544 , delta error  0.14232230038 , grad norm  11.92100337
Step  4800 , error  736.650414953 , delta error  0.116678827607 , grad norm  10.7937545609
Step  4900 , error  726.078494402 , delta error  0.0956666177457 , grad norm  9.77365294052
Step  5000 , error  717.40990992 , delta error  0.0784481512108 , grad norm  8.85050948013
Step  5001 , error  717.40990992 , delta error  0.0784481512108 , grad norm  8.85050948013
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 2.55%
[0.00011997046880767811]
Step  100 , error  700051.215981 , delta error  1420.64785592 , grad norm  1190.96094271
Step  200 , error  572015.4959 , delta error  1153.38457721 , grad norm  1073.12921391
Step  300 , error  467824.008447 , delta error  940.257882518 , grad norm  968.930238411
Step  400 , error  382803.863936 , delta error  767.852851045 , grad norm  875.608481617
Step  500 , error  313339.777261 , delta error  627.616032571 , grad norm  791.624141132
Step  600 , error  256547.067975 , delta error  513.249778918 , grad norm  715.874725828
Step  700 , error  210095.74454 , delta error  419.853813963 , grad norm  647.473647144
Step  800 , error  172093.139771 , delta error  343.522816889 , grad norm  585.667480529
Step  900 , error  140997.298473 , delta error  281.108456024 , grad norm  529.798180638
Step  1000 , error  115549.910404 , delta error  230.057399423 , grad norm  479.282699223
Step  1100 , error  94723.11589 , delta error  188.291919536 , grad norm  433.600325972
Step  1200 , error  77676.7768584 , delta error  154.1179538 , grad norm  392.283881102
Step  1300 , error  63723.9115954 , delta error  126.152565412 , grad norm  354.913045167
Step  1400 , error  52302.6181699 , delta error  103.265912554 , grad norm  321.108998301
Step  1500 , error  42953.2111693 , delta error  84.5344444162 , grad norm  290.529936773
Step  1600 , error  35299.5741736 , delta error  69.2029644422 , grad norm  262.867224063
Step  1700 , error  29033.9348654 , delta error  56.6537849671 , grad norm  237.842029823
Step  1800 , error  23904.4259263 , delta error  46.3815971559 , grad norm  215.202361914
Step  1900 , error  19704.9171242 , delta error  37.9729699013 , grad norm  194.720426027
Step  2000 , error  16266.7011095 , delta error  31.0896098652 , grad norm  176.190265014
Step  2100 , error  13451.693331 , delta error  25.4546840595 , grad norm  159.42564111
Step  2200 , error  11146.8693485 , delta error  20.8416397347 , grad norm  144.258131601
Step  2300 , error  9259.71377621 , delta error  17.0650627022 , grad norm  130.535413609
Step  2400 , error  7714.49650866 , delta error  13.9732007007 , grad norm  118.119717429
Step  2500 , error  6449.22560759 , delta error  11.4418474939 , grad norm  106.886430707
Step  2600 , error  5413.15373686 , delta error  9.36933940316 , grad norm  96.7228379886
Step  2700 , error  4564.73748127 , delta error  7.67246152924 , grad norm  87.5269820499
Step  2800 , error  3869.96722455 , delta error  6.28309801052 , grad norm  79.2066348955
Step  2900 , error  3301.00024758 , delta error  5.14549092122 , grad norm  71.678367674
Step  3000 , error  2835.04195867 , delta error  4.21399710702 , grad norm  64.8667098515
Step  3100 , error  2453.43018584 , delta error  3.45125242576 , grad norm  58.703388985
Step  3200 , error  2140.88565366 , delta error  2.82666934468 , grad norm  53.1266433071
Step  3300 , error  1884.89846953 , delta error  2.31520731923 , grad norm  48.0806001042
Step  3400 , error  1675.22592653 , delta error  1.89636639626 , grad norm  43.5147135586
Step  3500 , error  1503.48141595 , delta error  1.55336349517 , grad norm  39.3832563471
Step  3600 , error  1362.79791227 , delta error  1.27245819033 , grad norm  35.6448598357
Step  3700 , error  1247.55249697 , delta error  1.0424008475 , grad norm  32.2620982161
Step  3800 , error  1153.14084459 , delta error  0.853980899442 , grad norm  29.2011123725
Step  3900 , error  1075.79260553 , delta error  0.699657081192 , grad norm  26.4312696775
Step  4000 , error  1012.42026582 , delta error  0.57325474796 , grad norm  23.9248562762
Step  4100 , error  960.495410643 , delta error  0.469718099988 , grad norm  21.6567987533
Step  4200 , error  917.947420948 , delta error  0.384907349918 , grad norm  19.6044123715
Step  4300 , error  883.080534164 , delta error  0.315432677266 , grad norm  17.7471733409
Step  4400 , error  854.505938623 , delta error  0.258518295228 , grad norm  16.0665128226
Step  4500 , error  831.086175433 , delta error  0.211891166623 , grad norm  14.5456305904
Step  4600 , error  811.889616155 , delta error  0.173689897418 , grad norm  13.1693264698
Step  4700 , error  796.153189463 , delta error  0.142390147775 , grad norm  11.9238478589
Step  4800 , error  783.251861333 , delta error  0.116743564743 , grad norm  10.7967517936
Step  4900 , error  772.673644504 , delta error  0.0957277843455 , grad norm  9.77678016772
Step  5000 , error  763.999135005 , delta error  0.0785054956993 , grad norm  8.85374685396
Step  5001 , error  763.999135005 , delta error  0.0785054956993 , grad norm  8.85374685396
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 3.06%
[0.00011997046880767811, 0.00035470545977011496]
Step  100 , error  700001.72876 , delta error  1419.15069418 , grad norm  1190.33765436
Step  200 , error  572055.623165 , delta error  1152.8845762 , grad norm  1072.89806059
Step  300 , error  467894.744441 , delta error  940.089028817 , grad norm  968.843865251
Step  400 , error  382883.855272 , delta error  767.816693228 , grad norm  875.588195996
Step  500 , error  313420.075551 , delta error  627.637615817 , grad norm  791.637948029
Step  600 , error  256623.788774 , delta error  513.295792327 , grad norm  715.906938858
Step  700 , error  210167.350772 , delta error  419.908175395 , grad norm  647.515645237
Step  800 , error  172159.245129 , delta error  343.57756722 , grad norm  585.714207546
Step  900 , error  141058.081805 , delta error  281.159765119 , grad norm  529.846569616
Step  1000 , error  115605.81216 , delta error  230.103616543 , grad norm  479.330868851
Step  1100 , error  94774.6768631 , delta error  188.332555163 , grad norm  433.647133476
Step  1200 , error  77724.5527576 , delta error  154.153125704 , grad norm  392.328657674
Step  1300 , error  63768.4293555 , delta error  126.182690671 , grad norm  354.955432426
Step  1400 , error  52344.3555499 , delta error  103.291535345 , grad norm  321.148843976
Step  1500 , error  42992.5893292 , delta error  84.5561407795 , grad norm  290.567226685
Step  1600 , error  35336.9573353 , delta error  69.2212913582 , grad norm  262.902037138
Step  1700 , error  29069.6336558 , delta error  56.6692550618 , grad norm  237.87450813
Step  1800 , error  23938.7024371 , delta error  46.3946681415 , grad norm  215.232690706
Step  1900 , error  19737.9905673 , delta error  37.9840423117 , grad norm  194.748820546
Step  2000 , error  16298.7534498 , delta error  31.0990292614 , grad norm  176.21696189
Step  2100 , error  13482.8745728 , delta error  25.4627454341 , grad norm  159.450892844
Step  2200 , error  11177.3023294 , delta error  20.8485927867 , grad norm  144.28220303
Step  2300 , error  9289.49842343 , delta error  17.0711172193 , grad norm  130.558579516
Step  2400 , error  7743.71357012 , delta error  13.9785316384 , grad norm  118.142260592
Step  2500 , error  6477.93989944 , delta error  11.4465995501 , grad norm  106.908639789
Step  2600 , error  5441.41696222 , delta error  9.37363102203 , grad norm  96.745004738
Step  2700 , error  4592.59067731 , delta error  7.67638834351 , grad norm  87.5493973377
Step  2800 , error  3897.44289117 , delta error  6.28673578468 , grad norm  79.229583229
Step  2900 , error  3328.12420335 , delta error  5.14889808377 , grad norm  71.7021199583
Step  3000 , error  2861.83496 , delta error  4.21721697471 , grad norm  64.8915143854
Step  3100 , error  2479.90933478 , delta error  3.45431522481 , grad norm  58.7294609554
